體育/sports,#genre#
Fancy Nancy,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/db0e125da7/index.m3u8
Gol TV,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/ce193be565/index.m3u8
HGTV,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/6cea362e3d/index.m3u8
HISTORY HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/102c147443/index.m3u8
HBO,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/d8fd7a6e7e/index.m3u8
HBO 2,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/c5cf278863/index.m3u8
HBO COMEDY,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/8ab4a25c3e/index.m3u8
HBO Family,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/33f258c369/index.m3u8
HBO Pacific,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/b378f9e289/index.m3u8
HBO SIGNATURE,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/dcddafe47c/index.m3u8
HLN,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/b89701f05f/index.m3u8
Nat Geo,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/08cf3dd76b/index.m3u8
Nat Geo Wild,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/8200bd312e/index.m3u8
Nat Geo Mundo,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/9ee4e69466/index.m3u8
NBCSN,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/372d64289e/index.m3u8
NBA TV,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/642fc0f827/index.m3u8
NFL Now,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/c999d4d641/index.m3u8
NFL Network,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/491dc43438/index.m3u8
MSNBC,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/1393bea741/index.m3u8
MTV HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/141cef03d1/index.m3u8
MTV LIVE HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/c87963cf51/index.m3u8
MSG HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/d3ee4f85d9/index.m3u8
MSG 2 HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/61a1a97e5d/index.m3u8
OUTDOOR,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/ec7d71e8c9/index.m3u8
SYFY,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/adda9acdb8/index.m3u8
TBS,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/285e786c69/index.m3u8
The Weather Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/c42c5fe860/index.m3u8
Tennis Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/ee3cff0a28/index.m3u8
Tennis Plus 1,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/2ad15ae1ce/index.m3u8
Tennis Plus 2,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/733911afb4/index.m3u8
Tennis Plus 3,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/ebf066230a/index.m3u8
TCM,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/c86b911d9d/index.m3u8
TNT HD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/99f0228e90/index.m3u8
Travel,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/f1f611bb5a/index.m3u8
WWE FHD,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/da5ad83204/index.m3u8

加拿大/Canada,#genre#
新時代多倫多,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/81636a3e/index.m3u8
新時代2,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/40e8083fd4/index.m3u8
新時代溫哥華,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/e95974c9/index.m3u8
600 News,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/9c0ab48fbc/index.m3u8
CP24,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/b5c1996d7e/index.m3u8
CBCNEWS,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/e5bf9322/index.m3u8
HBOCA,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/92d18db9/index.m3u8
TNT WEST,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/c4251e61/index.m3u8
CBS?SPORTS,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/6cf6f03a/index.m3u8
TNT,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/1ce79cf4/index.m3u8
TSN1,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/0757cc4d/index.m3u8
TSN2,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/edf86d1a/index.m3u8
OMNI?1,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/39b01453/index.m3u8
OMNI?2,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/a69eef3c/index.m3u8
CHCH,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/5895b4d8/index.m3u8
CTV?2,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/bc30fbc2/index.m3u8
CTV?News,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/618ab625/index.m3u8
SportNet EAST,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/f38c6054/index.m3u8
SportNet PACIFIC,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/7f4158f7/index.m3u8
SportNet WEST,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/8e05df31/index.m3u8
SportNet?Ontario,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/78775607/index.m3u8
SportNet?One,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/20dce16c/index.m3u8
SportNet?World,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/e5bf9321/index.m3u8
TSN3,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/eb606303/index.m3u8
DISNEY?JR,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/c4251e62/index.m3u8
TSN4,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/2cad0173/index.m3u8
TSN5,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/6cf6f04a/index.m3u8
HBOCA2,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/1ce79cf5/index.m3u8
CTV,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/0757cc3d/index.m3u8
SPACE,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/afb9be2a/index.m3u8
Documentary,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/a69eef2c/index.m3u8
SportNet?360,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/5895b4d7/index.m3u8
NHL?Network,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/618ab626/index.m3u8
